previous_delay_hours
3.35
6.83
0.77
10.83
5.77
9.17
3.5
2.55
8.78
4.0
0.03
1.07
0.7
2.18
9.93
0.22
6.92
4.2
9.95
2.37
2.0
0.02
24.43
0.5
1.28
0.05
0.37
7.53
14.75
0.08
1.63
0.52
3.68
2.63
0.68
2.55
0.65
